id,idp,organisation,alias,alias with country code,tenent host name,country,timezone,language,email,term and cons,logo,landing page
812,https://idp.trinity-cm.ac.uk/shibboleth,University of Wales Trinity Saint David: Carmarthen / Lampeter,uwtsd,uwtsduk,uwtsd.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*uwtsd[.][a-zA-Z\._-]*ac[.]uk,,,
818,https://idp.ulster.ac.uk/shibboleth,University of Ulster,ulster,ulsteruk,ulster.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*ulster[.][a-zA-Z\._-]*ac[.]uk,,,
819,https://idp.nuca.ac.uk/shibboleth,Norwich University of the Arts,nua,nuauk,nua.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*nua[.][a-zA-Z\._-]*ac[.]uk,,,
821,https://idp.winchester.ac.uk/shibboleth,University of Winchester,winchester,winchesteruk,winchester.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*winchester[.][a-zA-Z\._-]*ac[.]uk,,,
823,https://idp.uel.ac.uk/shibboleth,University of East London,uel,ueluk,uel.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*uel[.][a-zA-Z\._-]*ac[.]uk,,,
832,https://idp.gre.ac.uk/shibboleth,University of Greenwich,gre,greuk,gre.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*gre[.][a-zA-Z\._-]*ac[.]uk,,,
834,https://idp.ram.ac.uk/shibboleth,Royal Academy of Music,ram,ramuk,ram.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*ram[.][a-zA-Z\._-]*ac[.]uk,,,
852,https://idp.bucks.ac.uk/entity,Buckinghamshire New University,bucks,bucksuk,bucks.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bcuc[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*bucks[.][a-zA-Z\._-]*ac[.]uk,,,
863,https://idp.bishopg.ac.uk/shibboleth,Bishop Grosseteste University,bishopg,bishopguk,bishopg.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bishopg[.][a-zA-Z\._-]*ac[.]uk,,,
877,https://shibboleth2.rwcmd.ac.uk/idp/shibboleth,Royal Welsh College of Music and Drama,rwcmd,rwcmduk,rwcmd.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*rwcmd[.][a-zA-Z\._-]*ac[.]uk,,,
